"start_station_name","start_lat","start_lng","total_rides","casual_rides","casual_percentage"
"Princeton Ave & 47th St",41.80931770924,-87.633449288,503,226,44.93
"Keeler Ave & Carmen Ave",41.974323,-87.7331,363,163,44.90
"Broadway & Oakdale Ave",41.9355863,-87.6440474,147,66,44.90
"Sacramento Blvd & Franklin Blvd",41.89046879243862,-87.70260751247406,248,111,44.76
"Clark St & Grace St",41.95078,-87.659172,9328,4175,44.76
"Sacramento Blvd & Addison St",41.94609,-87.702988,439,196,44.65
"Knox Ave & Montrose Ave",41.960631,-87.745359,911,406,44.57
"Prairie Ave & Garfield Blvd",41.794853,-87.618691,1403,624,44.48
"Public Rack - Wells St & Grand Ave",41.89103356,-87.63415517,117,52,44.44
"Ping Tom Park (East)",41.8579886,-87.6319447,275,122,44.36
"Public Rack - Keystone Ave & Irving Park Rd",41.953449,-87.729635,147,65,44.22
"Parnell Ave & 31st St",41.837911,-87.640279,865,382,44.16
"California Ave & Lake St",41.88445395657,-87.6962981368,827,365,44.14
"Halsted St & Archer Ave",41.847203,-87.646795,2745,1210,44.08
"Pulaski Rd & Eddy St",41.946264,-87.731023,761,335,44.02
"California Ave & Touhy Ave",42.0120368,-87.7004371,384,169,44.01
"Public Rack - Jonathan Y Scammon Public School",41.941612,-87.732372,250,110,44.00
"Calumet Ave & 35th St",41.831379,-87.618034,1025,451,44.00
"Paulina St & Howard St",42.019159,-87.673573,2327,1022,43.92
"Lexington St & California Ave",41.8719938,-87.6958108,310,136,43.87
"St Louis Ave & Armitage Ave",41.91717,-87.71358,390,171,43.85
"DuSable Lake Shore Dr & Belmont Ave",41.940775,-87.639192,14519,6365,43.84
"State St & 19th St",41.856575,-87.627568,105,46,43.81
"Racine Ave & Webster Ave",41.92161,-87.65803,1165,510,43.78
"Central St & Girard Ave",42.064313,-87.686152,1015,443,43.65
"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,19553,8535,43.65
"Public Rack - Rockwell St & Chicago Ave",41.895855,-87.691857,179,78,43.58
"Dodge Ave & Church St",42.048308,-87.698224,920,400,43.48
"Public Rack - Hamlin Ave & Fullerton Ave",41.924319,-87.721446,196,85,43.37
"Racine Ave & 35th St",41.83068856472101,-87.65621066093445,847,367,43.33
"Campbell Ave & Fullerton Ave",41.92463247165,-87.6893070063,1996,863,43.24
"Racine/Lake Corral",41.8856855,-87.6568915,111,48,43.24
"Leavitt St & Addison St",41.946655,-87.683359,2943,1272,43.22
"Kosciuszko Park",41.93058537138,-87.7237773635,2255,973,43.15
"Public Rack - Wells St & Schiller St",41.90755273,-87.63451269,341,147,43.11
"Grace/Sheffield Corral",41.9511586,-87.6546115,745,321,43.09
"Rockwell St & Division St",41.90275,-87.69202,1790,771,43.07
"Fairfield Ave & Roosevelt Rd",41.866624,-87.694521,439,189,43.05
"Public Rack - Wells St & Lake St",41.88566761,-87.63375585,265,114,43.02
"Wood St & Walnut St",41.88612477838304,-87.67198414416876,856,368,42.99
"Francisco Ave & Hollywood Ave",41.98443,-87.70157,114,49,42.98
"Lockwood Ave & Grand Ave",41.9175941,-87.7584143,270,116,42.96
"Rainbow Beach",41.75787096522547,-87.54917675279042,170,73,42.94
"Central Ave & Madison St",41.880121,-87.763238,140,60,42.86
"Milwaukee Ave & Cuyler Ave",41.954468,-87.749594,553,237,42.86
"Public Rack - Southport Ave & Fullteron Ave",41.92509658,-87.66323499,301,129,42.86
"Public Rack - DuSable Lake Shore Dr & Ontario St",41.89434697,-87.61569137,201,86,42.79
"Public Rack - Webster Ave & Halsted St",41.92188868,-87.64847243,501,214,42.71
"Milwaukee Ave & Agatite Ave",41.9615,-87.75489,377,161,42.71
"Humboldt Blvd & Armitage Ave",41.91751339399,-87.7018089555,4928,2103,42.67
"Michigan Ave & Lake St",41.886022,-87.624398,20495,8743,42.66
"Damen Ave & Wabansia Ave",41.9122813,-87.6773211,324,138,42.59
"Halsted St & Court Pl",41.8837,-87.64722,1642,698,42.51
"Lavergne Ave & Fullerton Ave",41.924034,-87.751191,259,110,42.47
"Michigan Ave & Washington St",41.8839840647265,-87.6246839761734,19849,8427,42.46
"Public Rack - Wabash Ave & Chicago Ave",41.89678902,-87.62644291,172,73,42.44
